"ID","clr_Ag","clr_Al","clr_As","clr_B","clr_Ba","clr_Be","clr_Bi","clr_Ca","clr_Cd","clr_Ce","clr_Co","clr_Cr","clr_Cu","clr_Fe","clr_In","clr_K","clr_La","clr_Li","clr_Mg","clr_Mn","clr_Mo","clr_Na","clr_Ni","clr_P","clr_Pb","clr_S","clr_Sb","clr_Sc","clr_Se","clr_Sn","clr_Sr","clr_Te","clr_Th","clr_Ti","clr_U","clr_V","clr_W","clr_Y","clr_Yb","clr_Zn","clr_Zr"
75,-5.55765012953174,6.61452096432275,-0.905278342059355,-1.82794868089755,1.72166870588288,-3.37911768520767,-5.15218502142358,5.6653685679646,-5.55765012953174,1.24659477308073,-0.703019083912066,0.919322233357942,0.319151509256101,7.3076681448827,-6.65626241819985,5.45824303380483,0.616135974370196,0.168111251843236,6.04755061154766,2.949492726031,-1.93330919655538,3.53052260847023,0.226175052797997,3.79534654284596,-0.937591331049899,5.9718046373897,-4.45903784086363,-1.08601133616817,-2.91859279991648,-2.83855009224295,0.494439039392676,-7.3494095987598,-0.242803461032493,4.59529828263597,-2.13992344591837,0.942136911124114,-3.94821221709764,0.0591209681348306,-2.38656496849989,1.36663445140161,-0.0361892116694942
76,-5.50152268371609,6.59918944615626,-1.00171301338583,-1.7718212350819,1.78922484752215,-3.65569599321776,-3.57971008623984,5.45220357320393,-5.50152268371609,1.26120682321579,-0.728017182908785,0.962546274337684,0.287417599280417,7.09884176932412,-6.6001349723842,5.45511478341139,0.54269242877742,0.0844767552837262,5.97404699471037,2.71905980450406,-2.20568581771176,3.38031362128806,0.271993128954785,3.83250916060264,-0.778569462071616,5.25282779537174,-4.46006880888793,-1.08872439037546,-2.93657332625455,-2.7824226464273,0.207799971315725,-7.29328215294415,-0.308565832825881,4.59120686845857,-1.89965460659178,0.925505002657335,-3.36145652021982,-0.0278524296901934,-2.30284956616541,1.30087207960822,-0.203205317168055
77,-5.38212696276144,6.60080213145453,-0.984938080347879,-1.18242188488151,1.56911342816044,-3.37465892070669,-4.80676281785788,5.28940907850775,-4.74613819604144,1.23497888254112,-0.744166953950355,0.791659141140499,0.704647764150869,7.2477599295451,-6.48073925142955,5.41744861433133,0.589701609829685,0.0115005835909239,5.84755102682488,2.58650027690596,-2.3919657342569,3.43434743694993,0.236662299061371,3.61336866071523,-0.863968153762976,6.2753797310199,-4.63491256093122,-1.19922900319789,-2.86982133878532,-3.0467520469444,0.42701602755259,-6.88620435953771,-0.43257936064502,4.38464954423279,-1.48352697766543,0.843530971847339,-4.0529910154815,-0.0192710750758298,-2.40320180752383,1.36962406774412,-0.489274704321566
78,-5.35406870537737,6.60780697964077,-0.974823713665362,-1.15436362749744,1.39768232512819,-3.13245267491699,-4.77870456047381,5.27266405887599,-5.06638663292559,1.28071064854268,-0.663740711048969,0.779570330511157,0.438267166620279,7.27217519565067,-6.45268099404548,5.38954821806735,0.609224964763918,0.0840106035458281,5.84566692759387,2.6183973105972,-2.32554660900039,3.42719669285152,0.393198881218573,3.6414269180993,-0.929887630949452,6.44653883204464,-4.71807993865737,-1.25234403585764,-2.80636115435034,-2.99741639111305,0.236088743771114,-6.85814610215364,-0.404521103260949,4.36709729036481,-1.64593143465902,0.81971739852457,-4.02493275809742,0.0242913688442057,-2.39800168821581,1.44832605794694,-0.461216446937495
79,-5.32275737610682,6.58221017663943,-0.958385676671665,-0.940730741432944,1.3618543515611,-3.37684722705151,-4.79212912504465,5.11722354694387,-4.2580466391144,1.28118644849365,-0.748046397603443,0.788709963395853,0.509125101176691,7.23748708314396,-6.52673018043276,5.37823737231349,0.57987595729454,-0.00463738226260935,5.77767836581827,2.55577682003354,-2.28780438939955,3.32721692654323,0.364217980232994,3.53233560392181,-0.886005841743698,6.46779982546168,-4.73497071120471,-1.23678106355524,-2.83785072631883,-3.0403749904303,0.11532193281637,-6.93219528854093,-0.486475469155348,4.3513170121015,-1.58747154917873,0.861391514830657,-3.8876728508175,0.0432186389150258,-2.27348433562481,1.42247897337754,-0.53526563332478
80,-5.77666952488164,6.53150834358569,-0.869544607155048,-1.64150296813928,1.33402659809719,-3.44939181929722,-5.08352234432169,5.54690976835767,-4.86037879300748,1.53488280510797,-0.749504928834173,0.826596563332336,0.25160899534906,7.05801178007091,-6.46981670544158,5.45190165772948,0.859932983599928,0.123227828700853,5.80857660166822,2.60126159920109,-1.95895719892473,3.61807357009232,0.136833480756631,4.13800521704505,-0.962454711958839,5.52553490877294,-4.76506861320316,-1.24946088036326,-2.74412327820493,-2.92885738140427,0.202216240019483,-6.46981670544158,0.0522760927285684,4.52391488609214,-1.6949037448664,0.734332586594355,-3.98491005565358,0.176573809406146,-2.35077953062911,1.33402659809719,-0.360569122677219
81,-5.79721342405027,6.53769209332287,-0.789917031219533,-1.66204686730792,1.44701409155308,-3.4458381668868,-4.98628320783395,5.54729338929499,-5.39174831594211,1.52925218979005,-0.873589506943648,0.792400574995373,-0.162423820881025,7.42046013315838,-6.49036060461022,5.43467451118684,0.852418584721626,0.109509894602617,5.79498522181446,2.69977706004844,-1.91050822660642,3.55288889030107,0.248976022746954,4.31328829787018,-0.871772976017251,5.67228248299262,-4.69860113538216,-1.27542484700123,-2.81405993270314,-2.90684166615411,0.225022781724461,-6.49036060461022,-0.00572536897496789,4.48642142860973,-1.67007903900518,0.819520881214567,-4.09246533181185,0.15602991023751,-2.30070586258379,1.27181000252798,-0.275752506188028
82,-5.88493391690387,6.54998030105515,-1.02844930263488,-2.30938314809694,1.73015317763017,-3.09464561756469,-4.27549600446977,5.17723016504301,-4.88640508679275,1.33658880500572,-0.224954064906065,0.507222459559615,0.092141892752009,7.22304072304836,-6.4445497048393,5.21247610410469,0.613778432622215,0.117187924678096,5.70097644082284,3.08968412155124,-2.07510185237228,3.14593796726076,0.455677307722049,3.48484922948133,-0.579499082586973,6.3067499911742,-4.61196824109099,-1.28837210545238,-2.86103076638319,-2.79389146354556,-0.006798055102895,-6.73223177729108,-0.139187243148641,4.26986806391316,-1.90926564631537,0.641351759526315,-3.50011072567286,0.151913636051926,-2.15752079878769,1.38944663687016,-0.392460535914879
83,-5.57320380180004,6.74508083433706,-1.26240467641452,-2.13118442561763,1.8200592929638,-3.30883992162619,-4.09729728199046,5.28579519576353,-5.35006025048583,1.37015990464947,-0.872723436007621,0.678218269744871,0.661206923918334,7.23786763751338,-6.26635098235998,5.35542888752233,0.661206923918334,0.233436058295872,5.80332903826464,2.79606925953958,-1.96228588915581,3.22540184905439,0.109525263658332,3.65571295574908,-0.408417827876523,5.57946889788357,-4.60812290575645,-1.11740407246621,-2.8163634365284,-2.59639953813156,0.138877475670859,-6.55403305481176,-0.373326508065253,4.43689348579435,-1.61955912168107,0.772432559028559,-3.74062233805173,0.0880190584373679,-2.12321625596845,1.09565956889975,-0.968033615811946
84,-5.76637500529801,6.63971877412552,-1.19019235618317,-2.19082423649108,1.64647522274113,-3.21247548402306,-4.07469899462694,5.23334104455095,-5.51506057701711,1.37927168163289,-0.700169860046946,0.644739284910091,0.517225964611131,7.18503057396268,-6.32599079323344,5.31356732267016,0.65872552688483,0.166249041787036,5.76915029158946,2.92836646415952,-1.89220222400096,3.2118531453812,0.297410203389596,3.4954729238241,-0.426093439650943,5.96740568046841,-4.57679093842418,-1.16406605159095,-2.83708783115217,-2.6950053175384,0.0240219421949597,-6.61367286568522,-0.101432363958075,4.38842697551902,-1.71832372704676,0.68837422080696,-3.80026214892518,0.115752877772504,-2.12878884557163,1.12699153623203,-0.468057638749976
